epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.94074,1.12883,3.26466,1.46715,0.8163,0.84091,0.80381,0.54121,1.05016,5.4968,1.85563,0.00038,0.00038,0.00038
2,17.5595,1.08729,1.24968,1.40081,0.36616,0.81818,0.43197,0.16487,2.30036,4.34422,4.65798,0.00076713,0.00076713,0.00076713
3,24.2498,1.2534,1.17203,1.55674,0.32558,0.20455,0.11714,0.03356,3.68019,14.421,5.42761,0.00114106,0.00114106,0.00114106
4,31.6447,1.2647,1.10952,1.55191,0.00461,0.11364,0.00179,0.00034,3.77104,17.687,29.506,0.00150179,0.00150179,0.00150179
5,38.3065,1.30077,1.09382,1.59557,0.12648,0.27273,0.07963,0.02424,3.17153,6.04854,4.54702,0.00184932,0.00184932,0.00184932
6,45.3974,1.27533,1.05324,1.52053,0.24254,0.47727,0.24492,0.08897,3.00335,5.14602,4.97525,0.001835,0.001835,0.001835
7,52.5449,1.27299,0.98676,1.54495,0.08543,0.15909,0.0285,0.00699,3.44626,6.81098,4.52623,0.001802,0.001802,0.001802
8,59.363,1.22146,0.92256,1.49724,0.34651,0.72727,0.48385,0.17488,2.12422,2.42185,3.63257,0.001769,0.001769,0.001769
9,66.8087,1.17793,0.92777,1.4336,0.73907,0.77273,0.81635,0.42382,1.37444,1.66279,2.31716,0.001736,0.001736,0.001736
10,73.5405,1.1289,0.82451,1.4262,0.63693,0.77273,0.69317,0.42113,1.26898,1.49024,2.10421,0.001703,0.001703,0.001703
11,80.8845,1.13071,0.85068,1.3998,0.84143,0.75,0.82608,0.52159,1.28048,1.31876,2.03776,0.00167,0.00167,0.00167
12,87.3844,1.15105,0.86123,1.44811,0.75772,0.75,0.72861,0.3802,1.61644,1.4703,2.4361,0.001637,0.001637,0.001637
13,94.8374,1.15497,0.91328,1.47403,0.87441,0.77273,0.83203,0.52666,1.11659,0.92353,1.78996,0.001604,0.001604,0.001604
14,101.468,1.12275,0.85907,1.42449,0.62197,0.6357,0.57454,0.242,1.93093,1.37698,2.97243,0.001571,0.001571,0.001571
15,108.879,1.15302,0.82844,1.46197,0.82199,0.86364,0.85939,0.49171,1.48202,1.18362,2.07385,0.001538,0.001538,0.001538
16,115.504,1.059,0.77066,1.38525,0.94989,0.86171,0.90869,0.62809,1.02798,0.7576,1.81174,0.001505,0.001505,0.001505
17,122.849,1.06324,0.79581,1.375,0.92667,0.8617,0.89545,0.60751,1.11816,1.00086,1.86976,0.001472,0.001472,0.001472
18,130.156,1.00215,0.73701,1.34738,0.9662,0.86364,0.90624,0.59785,1.18514,0.83815,2.036,0.001439,0.001439,0.001439
19,136.975,1.06086,0.75393,1.39531,0.84688,0.75431,0.83649,0.42598,1.3323,0.99886,2.06612,0.001406,0.001406,0.001406
20,144.376,1.05786,0.7334,1.40363,0.95609,0.84091,0.937,0.66558,0.97543,0.67288,1.69489,0.001373,0.001373,0.001373
21,151.91,1.01532,0.69288,1.34505,0.79385,0.87533,0.92003,0.55386,1.1101,0.71777,1.79631,0.00134,0.00134,0.00134
22,159.215,0.98193,0.65741,1.29519,0.88584,0.88636,0.91415,0.48188,1.54582,0.97277,2.14401,0.001307,0.001307,0.001307
23,165.776,1.00125,0.71139,1.34101,0.92302,0.88636,0.94352,0.57811,1.13514,0.71971,1.69326,0.001274,0.001274,0.001274
24,173.035,1.02402,0.70659,1.317,0.94487,0.88636,0.92632,0.62462,0.93459,0.61216,1.56381,0.001241,0.001241,0.001241
25,179.819,0.99679,0.69172,1.32453,0.82816,0.81818,0.85208,0.49196,1.22003,1.39792,1.84823,0.001208,0.001208,0.001208
26,187.006,0.94082,0.63292,1.32838,0.97179,0.88636,0.94809,0.71824,0.81943,0.49209,1.40599,0.001175,0.001175,0.001175
27,194.163,0.95532,0.64263,1.27787,0.97109,0.88636,0.94529,0.70056,0.83103,0.52779,1.40256,0.001142,0.001142,0.001142
